"id";"lemma";"Freq";"MI";"T-score";"logDice"
"2122";"družka";"49";"4,156";"6,607";"1,803"
"2123";"následující";"95";"1,493";"6,285";"1,802"
"2124";"dvouhrbý";"45";"8,945";"6,695";"1,802"
"2125";"myška";"46";"5,91";"6,67";"1,802"
"2126";"fenka";"48";"4,498";"6,622";"1,801"
"2127";"záležet";"98";"1,452";"6,281";"1,801"
"2128";"nedaleko";"71";"2,01";"6,334";"1,801"
"2129";"scéna";"117";"1,267";"6,321";"1,801"
"2130";"vrchnost";"46";"5,856";"6,665";"1,8"
"2131";"sádka";"46";"5,846";"6,664";"1,8"
"2132";"jezdecký";"51";"3,61";"6,557";"1,8"
"2133";"Írán";"56";"2,889";"6,473";"1,799"
"2134";"vzorec";"48";"4,463";"6,614";"1,799"
"2135";"asijský";"55";"2,994";"6,485";"1,798"
"2136";"nepřátelství";"46";"5,78";"6,659";"1,798"
"2137";"zájem";"247";"0,855";"7,027";"1,798"
"2138";"nechutně";"45";"7,95";"6,681";"1,797"
"2139";"moment";"78";"1,794";"6,285";"1,797"
"2140";"majitelka";"58";"2,69";"6,435";"1,796"
"2141";"tyran";"46";"5,703";"6,652";"1,796"
"2142";"horákyně";"45";"7,736";"6,677";"1,796"
"2143";"komunismus";"55";"2,977";"6,474";"1,795"
"2144";"onak";"46";"5,677";"6,65";"1,795"
"2145";"obdobný";"61";"2,464";"6,394";"1,795"
"2146";"agentura";"127";"1,186";"6,315";"1,793"
"2147";"maximální";"71";"1,986";"6,299";"1,792"
"2148";"konkurence";"88";"1,578";"6,24";"1,791"
"2149";"chrt";"45";"6,943";"6,654";"1,789"
"2150";"konflikt";"69";"2,048";"6,298";"1,788"
"2151";"středověk";"52";"3,335";"6,497";"1,787"
"2152";"výrobce";"109";"1,311";"6,233";"1,787"
"2153";"autobus";"113";"1,276";"6,241";"1,787"
"2154";"napadnout";"97";"1,437";"6,212";"1,786"
"2155";"upřímný";"51";"3,493";"6,507";"1,785"
"2156";"stranický";"59";"2,557";"6,376";"1,783"
"2157";"svědomí";"62";"2,359";"6,339";"1,783"
"2158";"Kalousek";"56";"2,805";"6,413";"1,782"
"2159";"parazit";"47";"4,652";"6,583";"1,782"
"2160";"herečka";"79";"1,736";"6,22";"1,782"
"2161";"postupně";"127";"1,165";"6,244";"1,779"
"2162";"stav";"223";"0,865";"6,733";"1,778"
"2163";"vlas";"81";"1,68";"6,192";"1,777"
"2164";"množit";"48";"4,15";"6,538";"1,775"
"2165";"tentýž";"86";"1,578";"6,168";"1,774"
"2166";"číšník";"50";"3,607";"6,491";"1,774"
"2167";"přimět";"55";"2,861";"6,395";"1,773"
"2168";"pozdravit";"49";"3,826";"6,507";"1,773"
"2169";"konformně";"44";"10,67";"6,629";"1,772"
"2170";"120";"69";"2,002";"6,232";"1,771"
"2171";"(";"1 869";"0,575";"14,207";"1,771"
"2172";"svěřený";"46";"4,987";"6,568";"1,77"
"2173";"alpaka";"44";"8,927";"6,62";"1,769"
"2174";"volební";"99";"1,381";"6,13";"1,768"
"2175";"podnikatelsky";"44";"8,564";"6,616";"1,768"
"2176";"40";"119";"1,199";"6,157";"1,767"
"2177";"komunikace";"116";"1,22";"6,147";"1,767"
"2178";"ussurijský";"44";"7,984";"6,607";"1,765"
"2179";"zaměstnání";"74";"1,825";"6,174";"1,765"
"2180";"zdravotnictví";"84";"1,595";"6,132";"1,765"
"2181";"koníček";"56";"2,72";"6,348";"1,764"
"2182";"jít";"732";"0,619";"9,445";"1,762"
"2183";"účelně";"45";"5,562";"6,566";"1,761"
"2184";"Brusel";"66";"2,091";"6,217";"1,761"
"2185";"epidemie";"54";"2,907";"6,369";"1,761"
"2186";"Rakousko";"84";"1,585";"6,109";"1,76"
